marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=44189535557, placa=HYW-4380, cor=Dourado
marca=Volvo, modelo=S40 2.0 Aut., ano=1997, renavam=58075277532, placa=HUO-1199, cor=Marrom
marca=Honda, modelo=CITY Sedan LX 1.5 Flex 16V 4p Aut., ano=2010, renavam=84524020273, placa=HVU-2555, cor=Amarelo
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=12229165587, placa=HWM-8202, cor=Laranja
marca=Toyota, modelo=Hilux CD SR 4x2 2.7 16V Mec., ano=2009, renavam=34691851373, placa=HUK-7808, cor=Prata
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=79593133883, placa=HXG-9990, cor=Marrom
marca=Mahindra, modelo=SCORPIO 2.6 CS/ Chassi TB Dies. CRDe 4x4, ano=2008, renavam=36201205786, placa=HWK-5496, cor=Bege
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=86877674881, placa=HWC-2303, cor=Preto
marca=RELY, modelo=VAN Q22 1.0 5p, ano=2013, renavam=67845966430, placa=HVM-3590, cor=Amarelo
marca=VW - VolksWagen, modelo=Santana CS/CD/CG, ano=1985, renavam=34169938292, placa=HYV-9743, cor=Prata
marca=Plymouth, modelo=Sundance 2.5, ano=1992, renavam=79593133883, placa=HXG-9990, cor=Marrom
marca=CHERY, modelo=CIELO 1.6 16V 119cv  5p, ano=2010, renavam=10688894582, placa=HWJ-2094, cor=Branco
marca=FOTON, modelo=AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel, ano=2014, renavam=67845966430, placa=HVM-3590, cor=Amarelo
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=05113820799, placa=HUO-7040, cor=Bege
marca=Maserati, modelo=Spyder CC 4.2 V8 32V 390cv, ano=2002, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=10688894582, placa=HWJ-2094, cor=Branco
marca=Ford, modelo=Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel, ano=2002, renavam=23652571793, placa=HUF-0295, cor=Marrom
marca=Mitsubishi, modelo=OUTLANDER 2.4 16V 170cv Aut., ano=2009, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=Suzuki, modelo=Sidekick Metal, ano=1991, renavam=40285238646, placa=HXW-4591, cor=Branco
marca=LAMBORGHINI, modelo=AVENTADOR LP 700-4 ROADSTER, ano=2013, renavam=58075277532, placa=HUO-1199, cor=Marrom
marca=Chrysler, modelo=Caravan LX 3.3 V6 182cv, ano=2005, renavam=92483855644, placa=HUK-0491, cor=Amarelo
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=32300054406, placa=HUO-8529, cor=Vermelho
marca=JPX, modelo=Jipe Montez 4x4 CD Teto de Lona Diesel, ano=1994, renavam=91748757760, placa=HXO-3570, cor=Branco
marca=Peugeot, modelo=205 CTi Cabriolet 1.4, ano=1992, renavam=06835310492, placa=HVU-4909, cor=Amarelo
marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=92483855644, placa=HUK-0491, cor=Amarelo
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=92483855644, placa=HUK-0491, cor=Amarelo
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=16196584171, placa=HXZ-9173, cor=Branco
marca=Suzuki, modelo=Sidekick Canvas, ano=1995, renavam=34169938292, placa=HYV-9743, cor=Prata
marca=Fiat, modelo=Punto SX, ano=1995, renavam=34169938292, placa=HYV-9743, cor=Prata
marca=GM - Chevrolet, modelo=S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel, ano=2012, renavam=82882428203, placa=HXX-6294, cor=Cinza
marca=Mitsubishi, modelo=OUTLANDER 3.0/ GT 3.0 V6 Aut., ano=2008, renavam=69212377490, placa=HXU-1180, cor=Branco
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=26916834143, placa=HUD-4693, cor=Prata
marca=LAMBORGHINI, modelo=Gallardo Spyder Performante LP570-4, ano=2012, renavam=22901361896, placa=HXC-3243, cor=Cinza
marca=SSANGYONG, modelo=ACTYON 2.0 16V 141cv Diesel, ano=2008, renavam=45134282213, placa=HUN-4283, cor=Marrom
marca=Rolls-Royce, modelo=Ghost ll 6.6 V12 Aut., ano=2015, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=43435030179, placa=HVO-3290, cor=Dourado
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=69212377490, placa=HXU-1180, cor=Branco
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=Suzuki, modelo=Grand Vitara XL_7 2.7 24V 173cv 4p Mec., ano=2002, renavam=40285238646, placa=HXW-4591, cor=Branco
marca=Envemo, modelo=Camper 4x4 2.5 Diesel, ano=1991, renavam=87579844302, placa=HVD-0254, cor=Marrom
marca=GM - Chevrolet, modelo=Astra Advantage 2.0 MPFI 8V FlexPower 5p, ano=2007, renavam=40285238646, placa=HXW-4591, cor=Branco
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=59696577097, placa=HYU-6997, cor=Preto
marca=Ferrari, modelo=F599 GTB Fiorano F1 6.0 V12 620cv, ano=2007, renavam=92483855644, placa=HUK-0491, cor=Amarelo
marca=Dodge, modelo=Ram 2500 H.DUTY 5.9 SLT 24V CD 4x4 Dies., ano=2004, renavam=88699461751, placa=HVE-8384, cor=Verde
marca=Seat, modelo=Cordoba Vario 1.6L, ano=2000, renavam=40285238646, placa=HXW-4591, cor=Branco
marca=Kia Motors, modelo=Carnival EX 3.8 V6 24V 242cv Aut., ano=2006, renavam=40285238646, placa=HXW-4591, cor=Branco
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=76936785705, placa=HYO-2888, cor=Cinza
marca=Suzuki, modelo=Baleno 1.6 16V Mec., ano=1995, renavam=71315499892, placa=HUJ-7685, cor=Vermelho
marca=Fibravan, modelo=Buggy Plus 1.6 8V, ano=1989, renavam=38528116743, placa=HWD-3046, cor=Preto
marca=Matra, modelo=Pick-Up 4x4 Curto/Longo 2.5 TDI  Diesel, ano=2002, renavam=29328668301, placa=HWU-1938, cor=Laranja
marca=Plymouth, modelo=Sundance 2.5, ano=1992, renavam=29328668301, placa=HWU-1938, cor=Laranja
marca=Ferrari, modelo=575M Maranello F1 V12 515cv, ano=2003, renavam=29328668301, placa=HWU-1938, cor=Laranja
marca=GEELY, modelo=EC7 1.8 16V 130cv 4p Mec., ano=2014, renavam=71315499892, placa=HUJ-7685, cor=Vermelho
marca=Fibravan, modelo=Buggy Vip 1.8 8V, ano=2006, renavam=38528116743, placa=HWD-3046, cor=Preto
marca=Jaguar, modelo=F-Type S Supercharged Coupe 3.0 V6, ano=2015, renavam=71315499892, placa=HUJ-7685, cor=Vermelho
marca=LIFAN, modelo=620 TALENT 1.6 16V 106cv 4p, ano=2009, renavam=52554655007, placa=HWA-0289, cor=Dourado
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=52554655007, placa=HWA-0289, cor=Dourado
marca=JPX, modelo=Picape Montez 1.9 4x4 Diesel, ano=1994, renavam=69212377490, placa=HXU-1180, cor=Branco
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=34134781524, placa=HXI-0804, cor=Amarelo
marca=Gurgel, modelo=BR-800 (todos)/ Supermini, ano=1988, renavam=71315499892, placa=HUJ-7685, cor=Vermelho
marca=VW - VolksWagen, modelo=Polo 2.0 Mi 116cv 8V 5p, ano=2003, renavam=88699461751, placa=HVE-8384, cor=Verde
marca=Chrysler, modelo=300 M 3.5, ano=1998, renavam=86057085258, placa=HXO-7181, cor=Preto
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=45841533156, placa=HWW-9234, cor=Laranja
marca=Kia Motors, modelo=Magentis EX 2.0 16V Aut., ano=2006, renavam=86057085258, placa=HXO-7181, cor=Preto
marca=FOTON, modelo=AUMARK 3.5 - 11DT 2.8 4x2 TB Diesel, ano=2014, renavam=76936785705, placa=HYO-2888, cor=Cinza
marca=Mercury, modelo=Sable LS 3.0 V6, ano=1992, renavam=12675946950, placa=HVB-0932, cor=Verde
marca=Engesa, modelo=Engesa 4x4 4.0 Diesel, ano=1986, renavam=56785622441, placa=HYS-6065, cor=Cinza
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=26610098350, placa=HVC-0085, cor=Prata
marca=Buggy, modelo=Buggy 1.6 2-Lug., ano=1988, renavam=12236891859, placa=HWS-1721, cor=Bege
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=15996443329, placa=HYL-8901, cor=Cinza
marca=Kia Motors, modelo=Sorento EX 3.8 V6 24V 267cv 4x4 Aut., ano=2006, renavam=93336400365, placa=HWU-2559, cor=Preto
marca=Kia Motors, modelo=SOUL 1.6/ 1.6 16V FLEX Mec., ano=2009, renavam=12675946950, placa=KGS-0932, cor=Verde
marca=Engesa, modelo=Engesa 4x4 4.0 Diesel, ano=1986, renavam=55417874500, placa=KLL-9582, cor=Vermelho
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=65088624964, placa=KGN-0220, cor=Cinza
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=48200757100, placa=KJA-8032, cor=Bege
marca=Mahindra, modelo=SCORPIO 2.6 CD TB Diesel CRDe 4x4, ano=2008, renavam=21947717970, placa=KLL-4135, cor=Preto
marca=Cross Lander, modelo=CL-330 2.8 132cv 4x4 TB Int. Diesel, ano=2006, renavam=84794146342, placa=KKP-0700, cor=Branco
marca=Fyber, modelo=Buggy 2000W 1.6 8V, ano=2016, renavam=74494468754, placa=KLH-1126, cor=Vermelho
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=34560268763, placa=KJY-1929, cor=Dourado
marca=CHANA, modelo=Cargo CD 1.0 8V 53cv (Pick-Up), ano=2007, renavam=48200757100, placa=KJA-8032, cor=Bege
marca=JAC, modelo=J6 2.0 JET Flex 5p Mec., ano=2015, renavam=74494468754, placa=KLH-1126, cor=Vermelho
marca=Rolls-Royce, modelo=Phantom 6.7 V12 Aut., ano=2013, renavam=74494468754, placa=KLH-1126, cor=Vermelho
marca=Land Rover, modelo=Range R.EVOQUE Prestige Tech 2.0 Aut 5p, ano=2012, renavam=86057085258, placa=KKE-7181, cor=Preto
marca=VW - VolksWagen, modelo=Fox Trendline 1.0 Flex 12V 5p, ano=2016, renavam=12236891859, placa=KIZ-1721, cor=Bege
marca=Suzuki, modelo=Grand Vitara 2.0 16V 4x2/4x4 5p Aut., ano=1998, renavam=22302146319, placa=KHP-6978, cor=Laranja
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=74494468754, placa=KLH-1126, cor=Vermelho
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=74494468754, placa=KLH-1126, cor=Vermelho
marca=Acura, modelo=Integra GS 1.8, ano=1991, renavam=12236891859, placa=KIZ-1721, cor=Bege
marca=smart, modelo=fortwo coup, ano=2010, renavam=60195474361, placa=KIT-5028, cor=Verde
marca=Mazda, modelo=626 Sedan High, ano=2000, renavam=08992807463, placa=KJV-4028, cor=Vermelho
marca=Kia Motors, modelo=Sorento 3.3 V6 24V 270cv 4x2 Aut., ano=2016, renavam=53871052513, placa=KHS-9875, cor=Azul
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=08992807463, placa=KJV-4028, cor=Vermelho
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=41163385669, placa=KIV-3824, cor=Verde
marca=FOTON, modelo=AUMARK 3.50AK 2.8 4x2 TB Diesel, ano=2010, renavam=61078214787, placa=KMC-1832, cor=Vermelho
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=52371270700, placa=KFV-1995, cor=Amarelo
marca=Mahindra, modelo=SCORPIO 2.6 CS/ Chassi TB Dies. CRDe 4x4, ano=2008, renavam=41163385669, placa=KIV-3824, cor=Verde
marca=smart, modelo=fortwo coup, ano=2010, renavam=44676568612, placa=KME-7677, cor=Marrom
marca=Asia Motors, modelo=Towner Coach Full, ano=1995, renavam=34560268763, placa=KJY-1929, cor=Dourado
marca=VW - VolksWagen, modelo=Santana 2.0 Mi 2p e 4p, ano=1994, renavam=34560268763, placa=KJY-1929, cor=Dourado
marca=CHANGAN, modelo=MINI STAR Utility 1.0 8V 53cv (Furg, ano=2012, renavam=22302146319, placa=KHP-6978, cor=Laranja
marca=Peugeot, modelo=207 QUIKSILVER 1.6 Flex 16V 5p, ano=2012, renavam=41163385669, placa=KIV-3824, cor=Verde
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=87928441712, placa=KJT-1721, cor=Vermelho
marca=Kia Motors, modelo=Besta EST Full 2.7 Diesel (10/12lug.), ano=1993, renavam=87928441712, placa=KJT-1721, cor=Vermelho
marca=Rolls-Royce, modelo=Wraith 6.6 V12 Aut., ano=2014, renavam=34560268763, placa=KJY-1929, cor=Dourado
marca=Fibravan, modelo=Buggy Vip 1.6 8V Total Flex, ano=2007, renavam=60195474361, placa=KIT-5028, cor=Verde
marca=Mitsubishi, modelo=Pajero Sport 3.0 4x4 V6 Mec./Aut., ano=1999, renavam=25711279310, placa=KHJ-0766, cor=Branco
marca=Jaguar, modelo=XK-8 BR Convers, ano=1996, renavam=34560268763, placa=KJY-1929, cor=Dourado
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=25711279310, placa=KHJ-0766, cor=Branco
marca=Alfa Romeo, modelo=156 2.5 V6 24V 190cv 4p Aut., ano=1999, renavam=60195474361, placa=KIT-5028, cor=Verde
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=22302146319, placa=KHP-6978, cor=Laranja
marca=GEELY, modelo=GC2 1.0 12V 68cv 5p, ano=2015, renavam=60195474361, placa=KIT-5028, cor=Verde
marca=Mercedes-Benz, modelo=Sprinter 313 Furg, ano=2002, renavam=73892481760, placa=KGB-7171, cor=Branco
marca=Cross Lander, modelo=CL-330 2.8 132cv 4x4 TB Int. Diesel, ano=2006, renavam=08992807463, placa=KJV-4028, cor=Vermelho
marca=HAFEI, modelo=Towner Jr. Pick-up Ba, ano=2011, renavam=26935882204, placa=KGQ-6411, cor=Verde
marca=Engesa, modelo=Engesa 4x4 2.5/4.1, ano=1985, renavam=60195474361, placa=KIT-5028, cor=Verde
marca=HAFEI, modelo=Towner Jr. Pick-up 1.0 8V 48cv  CS 2p, ano=2010, renavam=44676568612, placa=KME-7677, cor=Marrom
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=99292854578, placa=KKU-7960, cor=Verde
marca=Mitsubishi, modelo=Pajero DAKAR 3.2 4x4 T.I. Dies. 5p Mec., ano=2009, renavam=44676568612, placa=KME-7677, cor=Marrom
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=44676568612, placa=KME-7677, cor=Marrom
marca=Maserati, modelo=Ghibli S Q4 3.0 V6 410cv Aut., ano=2014, renavam=41784680016, placa=KLA-8672, cor=Branco
marca=LIFAN, modelo=320 ELITE 1.3 16V 88cv 5p, ano=2009, renavam=87928441712, placa=KJT-1721, cor=Vermelho
marca=Lada, modelo=Laika SW 5p, ano=1991, renavam=86057085258, placa=KKE-7181, cor=Preto
marca=Seat, modelo=Cordoba 1.6L, ano=1999, renavam=87928441712, placa=KJT-1721, cor=Vermelho
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=18553147873, placa=KIM-4816, cor=Preto
marca=Dodge, modelo=Dakota Durango SLT 5.2 4x4 V8, ano=1998, renavam=44676568612, placa=KME-7677, cor=Marrom
marca=Daihatsu, modelo=Charade TS/TSi 1.3/LSi 1.5 16V, ano=1994, renavam=25711279310, placa=KHJ-0766, cor=Branco
marca=VW - VolksWagen, modelo=Van 1.6 Mi (furg, ano=1999, renavam=87928441712, placa=KJT-1721, cor=Vermelho
marca=Jeep, modelo=Grand Cherokee Nova Limited 4.7, ano=1999, renavam=25711279310, placa=KHJ-0766, cor=Branco
marca=Ford, modelo=F-1000 XLT CE 4.9i, ano=1996, renavam=23674443372, placa=KHD-4114, cor=Verde
marca=Alfa Romeo, modelo=2300 TI/TI-4, ano=1985, renavam=54979935783, placa=KIH-6066, cor=Preto
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=01355971923, placa=KGC-3865, cor=Azul
marca=smart, modelo=fortwo BRABUS cabrio 1.0 72kw, ano=2010, renavam=01355971923, placa=KGC-3865, cor=Azul
marca=MINI, modelo=COOPER PACEMAN S John Works ALL4 1.6 Aut, ano=2014, renavam=99292854578, placa=KKU-7960, cor=Verde
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=99292854578, placa=KKU-7960, cor=Verde
marca=Porsche, modelo=911 Carrera S Cabriolet 3.8 24V (991), ano=2012, renavam=18553147873, placa=KIM-4816, cor=Preto
marca=MINI, modelo=COOPER S Clubman 1.6 Aut., ano=2008, renavam=16971821425, placa=KIH-3163, cor=Amarelo
marca=Mercedes-Benz, modelo=560-SEL 5.6, ano=1987, renavam=01355971923, placa=KGC-3865, cor=Azul
marca=Fibravan, modelo=Buggy Plus 1.6 8V, ano=1989, renavam=01355971923, placa=KGC-3865, cor=Azul
marca=VW - VolksWagen, modelo=TOUAREG 3.2 24V V6 Tiptronic 5p, ano=2006, renavam=01355971923, placa=KGC-3865, cor=Azul
marca=RELY, modelo=PICK-UP Q22D CS 1.0 2p, ano=2014, renavam=25837065220, placa=KGA-5569, cor=Laranja
marca=Mazda, modelo=323 1.6 16V, ano=1994, renavam=25837065220, placa=KGA-5569, cor=Laranja
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=99292854578, placa=KKU-7960, cor=Verde
marca=Kia Motors, modelo=Sorento 3.5 V6 24V 278cv 4x4 Aut., ano=2010, renavam=87049232172, placa=KIM-6564, cor=Cinza
marca=Maserati, modelo=Quattroporte Evolucione Mec., ano=2000, renavam=25837065220, placa=KGA-5569, cor=Laranja
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=99292854578, placa=KKU-7960, cor=Verde
marca=Citroen, modelo=Xsara GLX 1.6 16V 5p Aut., ano=2001, renavam=17627936002, placa=KID-5992, cor=Marrom
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=28137743106, placa=KGG-3059, cor=Vermelho
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=48336958050, placa=KKZ-3317, cor=Verde
marca=Lotus, modelo=Esprit S-4 2.2 16V, ano=1995, renavam=56251851945, placa=KLH-0596, cor=Verde
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=36858504244, placa=KLB-0039, cor=Preto
marca=Mitsubishi, modelo=Pajero Evolution 4x4 3.5 V6, ano=1998, renavam=99593639595, placa=KIW-4196, cor=Cinza
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=99593639595, placa=KIW-4196, cor=Cinza
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=60386413782, placa=KGF-8754, cor=Amarelo
marca=BRM, modelo=Buggy W. Turing/Luxo/M-11 Absolvt 1.6 8V, ano=2005, renavam=86336672850, placa=KGD-8764, cor=Vermelho
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=32279712640, placa=KLI-3902, cor=Branco
marca=JINBEI, modelo=TOPIC VAN STD 2.0 16V 4p, ano=2011, renavam=97419156146, placa=KHH-5458, cor=Verde
marca=Mazda, modelo=MX-3 1.6 16V, ano=1992, renavam=60401895096, placa=KGW-5965, cor=Laranja
marca=Hyundai, modelo=EQUUS 4.6 V8 32V 366cv 4p Aut., ano=2012, renavam=99593639595, placa=KIW-4196, cor=Cinza
marca=SHINERAY, modelo=SY1020 T 20 TRUCKS BAU, ano=2013, renavam=82305909066, placa=KKV-9256, cor=Prata
marca=Lotus, modelo=Esprit S-4 2.2 16V, ano=1995, renavam=32279712640, placa=KLI-3902, cor=Branco
marca=Pontiac, modelo=Trans-AM 5.7 V8, ano=1991, renavam=60427890091, placa=KIM-9362, cor=Prata
marca=Daewoo, modelo=Tico, ano=1994, renavam=75737340691, placa=KHP-7290, cor=Prata
marca=SHINERAY, modelo=SY6370 A7 PVAN, ano=2013, renavam=32279712640, placa=KLI-3902, cor=Branco
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=46551726243, placa=KGR-7119, cor=Azul
marca=FOTON, modelo=AUMARK 3.5 - 14ST 2.8 4x2 TB Diesel, ano=2014, renavam=23520773240, placa=KIT-6794, cor=Dourado
marca=Jeep, modelo=Cherokee Longitude 3.2 4x4 V6 Aut., ano=2015, renavam=10948980173, placa=KFX-2046, cor=Cinza
marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=23520773240, placa=KIT-6794, cor=Dourado
marca=Toyota, modelo=Band.Picape CD 2p Chassi Longo Diesel, ano=1987, renavam=25666095740, placa=KFK-2952, cor=Marrom
marca=CHANA, modelo=Cargo CD 1.0 8V 53cv (Pick-Up), ano=2007, renavam=61862606340, placa=KJX-0394, cor=Bege
marca=Porsche, modelo=Boxster Spyder 3.4 320cv, ano=2011, renavam=31072411961, placa=KKM-6346, cor=Laranja
marca=JAC, modelo=J2 1.4 JET Flex 16V 5p Mec, ano=2015, renavam=75737340691, placa=DAF-7290, cor=Prata
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=96311409215, placa=BOW-3678, cor=Marrom
marca=Chrysler, modelo=PT Cruiser Classic 2.4 16V 143cv 4p, ano=2006, renavam=73773581184, placa=EUJ-2195, cor=Bege
marca=smart, modelo=fortwo BRABUS cabrio 1.0 72kw, ano=2010, renavam=27069182630, placa=DZX-2420, cor=Dourado
marca=RELY, modelo=LINK 1.3 16V 5p, ano=2014, renavam=67104608774, placa=EHP-3967, cor=Azul
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=99593639595, placa=DYQ-4196, cor=Cinza
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=42182842482, placa=EGR-6975, cor=Amarelo
marca=ASTON MARTIN, modelo=Vanquish V12 6.0 565cv, ano=2014, renavam=61862606340, placa=ESF-0394, cor=Bege
marca=JPX, modelo=Picape Montez 1.9 4x4 Diesel, ano=1994, renavam=83397201900, placa=CFA-9474, cor=Vermelho
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=85398640105, placa=CAP-2543, cor=Branco
marca=EFFA, modelo=ULC PICAPE CD 1.0 8V 4p, ano=2011, renavam=23520773240, placa=DWE-6794, cor=Dourado
marca=Fiat, modelo=Palio City 1.5/1.6 4p, ano=1999, renavam=23520773240, placa=DWE-6794, cor=Dourado
marca=Lexus, modelo=NX-200t F-Sport 2.0 16v 238cv Aut., ano=2015, renavam=78146028658, placa=FNE-1097, cor=Dourado
marca=CHANGAN, modelo=MINI STAR Family 1.0 8V 53cv (MiniVan), ano=2012, renavam=23520773240, placa=DWE-6794, cor=Dourado
marca=Wake, modelo=Way 1.6 Total Flex 8V Mec., ano=2009, renavam=61759786862, placa=DYY-5832, cor=Verde
marca=BMW, modelo=428i Cabriolet Sport 2.0 TB 245cv 2p, ano=2015, renavam=61862606340, placa=ESF-0394, cor=Bege
